incorrect	correct
간닥강	간다크강
간대라	간데라
간드자	간자
간드하라	간다라
간드히즘	간디즘
간지스강	갠지스강
간지즈강	갠지스강
간트리크레인	갠트리크레인
간틀레트 궤도	곤틀릿 궤도
갈다 호	가르다호
갈라시아	갈라티아
갈라테이어	갈라테이아
갈라파고스핀취	갈라파고스핀치
갈락토시다제	갈락토시다아제
갈락토제	갈락토오스
갈란두스	갈란투스
갈란사민	갈란타민
갈란수스	갈란투스
갈란쑤스	갈란투스
갈란트	갈란테
갈러리	갤러리
갈러핑인플레이션	갤러핑인플레이션
갈레언선	갤리언선
갈레이	갤리
갈로이스벌레	갈루아벌레
갈로핑인플레이션	갤러핑인플레이션
갈리버 여행기	걸리버 여행기
갈리어드	갤리어드
갈리움	갈륨
갈리카니즘	갈리카니슴
갈미슈팔텐킬첸	가르미슈파르텐키르헨
갈바노메타	갈바노미터
갈웨이	골웨이
갈피시	가피시
감마그로부린	감마 글로불린
감마그로불린	감마 글로불린
감마글로부린	감마 글로불린
감마손데	감마존데
감마손드	감마존데
감마아미 노부티리크산	감마 아미노부티르산
감마아미노부티릭산	감마 아미노부티르산
감마암이노 낙산	감마 아미노낙산
감마존드	감마존데
감마쥐티피	감마 지티피
감모우 장벽	가모 장벽
강글리오시데	강글리오시드
강에이지	갱에이지
개그만	개그맨
개나이트	가나이트
개네샤	가네샤
개네포	가네포
개니메데	가니메데
개다메스	가다메스
개돌리니트	가돌리나이트
개란티	개런티
개르다 호	가르다호
개르미슈파르텐키르헨	가르미슈파르텐키르헨
개리시스템	게리시스템
개리알	가리알
개리얼	가리알
개마리엘	가말리엘
개말리엘	가말리엘
개멜런	가믈란
개믈란	가믈란
개베스 만	가베스만
개보떼	가보트
개보로네	가보로네
개보테	가보트
개보트	가보트
개볼러쥐	가볼러지
개브리엘	가브리엘
개비알	가비알
개비얼	가비알
개비지	가비지
개소올	가소올
개소젠	가소겐
개소진	가소겐
개소홀	가소올
개솔린엔진	가솔린엔진
개스라이터	가스라이터
개스레인지	가스레인지
개스렌즈	가스렌즈
개스렌지	가스레인지
개스맨틀	가스맨틀
개스모니터	가스모니터
개스버너	가스버너
개스보일러	가스보일러
개스봄베	가스봄베
개스블랙	가스블랙
개스사이클론	가스사이클론
개스샘플러	가스샘플러
개스스토브	가스스토브
개스엔진	가스엔진
개스오겐	가소겐
개스오븐렌지	가스오븐레인지
개스카본	가스카본
개스켓	개스킷
개스코뉴	가스코뉴
개스코크스	가스코크스
개스콕스	가스코크스
개스크로 마토그래피	가스크로마토그래피
개스터빈	가스터빈
개스테리아	가스테리아
개스트리노마	가스트리노마
개스트린	가스트린
개스패킹	가스패킹
개스포켓	가스포켓
개스히터	가스히터
개이블	게이블
개이샤	게이샤
개이트	게이트
개이트웨이	게이트웨이
개이트키퍼	게이트키퍼
개이트펄스	게이트펄스
개임 마니아	게임 마니아
개임메이커	게임메이커
개임포인트	게임포인트
개자니아	가자니아
개제트	가제트
개터뜨기	가터뜨기
개터벨트	가터벨트
개피시	가피시
갠디즘	간디즘
갠지즈강	갠지스강
갠추리	갠트리
갠추리크레인	갠트리크레인
갤라고	갈라고
갤라디아	갈라티아
갤라테이아	갈라테이아
갤라티아	갈라티아
갤라파고스	갈라파고스 제도
갤라파고스펭귄	갈라파고스펭귄
갤라파고스핀치	갈라파고스핀치
갤락탄	갈락탄
갤락토시다아제	갈락토시다아제
갤락토시드	갈락토시드
갤락토오스	갈락토오스
갤란타민	갈란타민
갤란테	갈란테
갤란투스	갈란투스
갤란트	갈란테
갤란틴	갤런틴
갤레노스	갈레노스
갤레이	갤리
갤루아벌레	갈루아벌레
갤르노스	갈레노스
갤리아	갈리아
갤리카니슴	갈리카니슴
갤리커니슴	갈리카니슴
갤리폴리유	갈리폴리유
갤릴레이망원경	갈릴레이 망원경
갤릴리	갈릴리
갤바노미터	갈바노미터
갤토니아	갈토니아
갤회피겐산	갈회피겐산
갬마존데	감마존데
갬비아	감비아
갱글리오시드	강글리오시드
갱토크	강토크
갸블레	예블레
거네샤	가네샤
거네트	가넷
거네포	가네포
거네호	가네포
거넷페이퍼	가닛페이퍼
거니메데	가니메데
거니메드	가니메데
거니어리트	가니어라이트
거니테	가나이트
거니트	가나이트
거니트	가닛
거니트페이퍼(X)	가닛페이퍼
거다메스	가다메스
거담스	가다메스
거담즈	가다메스
거버교	게르버교
거베스 만	가베스만
거이데릭	가이데릭
거트무츠	구츠무츠
건투르	군투르
걸가이드스	걸가이드
걸가이즈	걸가이드
걸스카우츠	걸스카우트
검플로비치	굼플로비치
것타페르카	구타페르카
게그만	개그맨
게그맨	개그맨
게너럴 모기지	제너럴모기지
게너럴셔먼호	제너럴셔먼호
게네날포즈	게네랄파우제
게네럴프로베	게네랄프로베
게네바	제네바
게노바	제노바
게노사이드조약	제노사이드 조약
게노쎈샤프트	게노센샤프트
게노아	제노아
게라늄	제라늄
게라드	제라르
게레누크	게레눅
게로니모	제로니모
게르마네	게르만
게르만 랜서스	저먼랜서스
게르만클랩 댄스	저먼클랩댄스
게르미날	제르미날
게를라초브스크 봉	게를라호프스키 봉
게리만더링	게리맨더링
게리보루	겔리볼루
게리코	제리코
게릴러	게릴라
게메인샤프트	게마인샤프트
게미니 계획	제미니 계획
게베라	거베라
게솔린	가솔린
게솔린펌프	가솔린펌프
게쉬타포	게슈타포
게쉬탈트	게슈탈트
게스처	제스처
게스타포	게슈타포
게스탈트	게슈탈트
게오르그	게오르게
게오르그 이세	게오르크 이세
게우센	고이젠
게우젠	고이젠
게이서리쿠스	게이세리쿠스
게이우스	가이우스
게이지글래스	게이지글라스
게일라드	가야르드
게임 매니아	게임 마니아
게임 메니아	게임 마니아
게티스버그	게티즈버그
게티스부르그	게티즈버그
겐티오	젠티우
겐틸레	젠틸레
겔라티나아제	젤라티나아제
겔라티노브로마이드	젤라티노브로마이드
겔라틴	젤라틴
겔라틴 페이퍼	젤라틴페이퍼
겔라틴 필터	젤라틴필터
겔란데	겔렌데
겔란데스키	겔렌데스키
겔란데스프린겐	겔렌데슈프링겐
겔란드스키	겔렌데스키
겔렌드	겔렌데
겔리보루	겔리볼루
겔마늄	게르마늄
겔마니스트	게르마니스트
겔마니아	게르마니아
겜 마니아	게임 마니아
계블레	예블레
고가멜라	가우가멜라의 싸움
고글스	고글
고니아미터	고니오미터
고니아포토미터	고니오포토미터
고니오메터	고니오미터
고니오포토메터	고니오포토미터
고다베리강	고다바리강
고닷을 기다리며	고도를 기다리며
고데스버그강령	고데스베르크 강령
고드스커트	고어드스커트
고드호프	고트호프
고디바	고다이바
고디크	고딕
고딘디엠	응오딘지엠
고뜨란드기	고틀란드기
고뜨발도프	고트발도프
고뜨발드	고트발트
고뜨왈도프	고트발도프
고뜨왈드	고트발트
고뜨왈트	고트발트
고락푸	고라크푸르
고락푸르	고라크푸르
고레스커트	고어드스커트
고레텍스	고어텍스
고르 왕조	구르 왕조
고르기스	고르기아스
고르로프카	고를로프카
고르제	고르주
고르지	고르주
고르지타운	조지타운
고르텍스	고어텍스
고를로브카	고를로프카
고리끼댐	고리키 댐
고리라	고릴라
고리상카르산	가우리상카르산
고리키땜	고리키 댐
고린소스후서	고린도 후서
고린쏘스후서	고린도 후서
고릴러	고릴라
고모랏	고모라
고모러	고모라
고버노르	거버너
고베하인드	고비하인드
고베힌드	고비하인드
고블린	고블랭
고블링	고블랭
고사인단산	고사인탄산
고사인산산	고사인탄산
고사인싼산	고사인탄산
고스곡선	가우스 곡선
고스어	고트어
고스트 이메지	고스트이미지
고스펠	가스펠
고스펠송	가스펠송
고쓰어	고트어
고알네트	골네트
고알라인	골라인
고알바	골바
고알슛	골슛
고알스로	골스로
고알저지	골저지
고알크리스	골크리스
고알키퍼	골키퍼
고알킥	골킥
고알포스트	골포스트
고어 주	고아
고에보리	예테보리
고오대	고데
고오데	고데
고오스트 펄스	고스트펄스
고우고우	고고
고우라미	구라미
고우스트	고스트
고우스트 펄스	고스트펄스
고울덴게이트교	골든게이트교
고울드	골드
고울드바	골드바
고울드코스트	골드코스트
고울든 크로스	골든 크로스
고울든게이트교	골든게이트교
고울라인	골라인
고울바	골바
고울번	골번
고울스로	골스로
고울스로우	골스로
고울에어리어	골에어리어
고울크리스	골크리스
고울키퍼	골키퍼
고울킥	골킥
고울포스트	골포스트
고울프	골프
고지글래스	게이지글라스
고크레니우스의 연쇄식	고클레니우스의 연쇄식
고타마	가우타마
고트란드기	고틀란드기
고트발드	고트발트
고트왈도프	고트발도프
고트왈드	고트발트
고트프리드 본 스트라스버그	고트프리트 폰슈트라스부르크
고트프리드 폰 슈트라스부르크	고트프리트 폰슈트라스부르크
고트하르드 터널	고트하르트터널
고트하르드터널	고트하르트터널
고트하프	고트호프
고트합	고트호프
고하티	가우하티
고흐르 왕조	고르 왕조
곤 족	곤드
곤고라	공고라
곤냐꾸	곤냐쿠
곤냐끄	곤냐쿠
곤냐크	곤냐쿠
곤도라	곤돌라
곤살레스 데클라비요	곤살레스 데클라비호
곤아도트로핀	고나도트로핀
곤야쿠	곤냐쿠
곤잘레스 데클라비요	곤살레스 데클라비호
골고사	골고다
골고타	골고다
골덴게이트교	골든게이트교
골덴디스크	골든디스크
골덴아워	골든아워
골덴트라이앵글	골든트라이앵글
골덴트레저리	골든트레저리
골드 크로스	골든 크로스
골드러쉬	골드러시
골든캐트	골든캣
골든트레서리	골든트레저리
골로세움	콜로세움
골리슴	골리즘
골스로우	골스로
골에리아	골에어리어
골잘레스 데 클라비호	곤살레스 데클라비호
과네티딘	구아네티딘
과노신	구아노신
과니딘	구아니딘
과니에리	과르니에리
과달라야라	과달라하라
과룰료스	구아룰류스 국제공항
과룰료스	구아룰류스 국제공항
과야콜	구아야콜
과야퀼	과야킬
과율레	과율
과이아콜	과이어콜
괴르리츠	괴를리츠
괴테보그	예테보리
괴테보르그	예테보리
괴테보르크	예테보리
괴테보리	예테보리
괴틴겐	괴팅겐
괴팅젠	괴팅겐
괼리츠	괴를리츠
구겐헤임 미술관	구겐하임 미술관
구그비치	귀르비치
구나드아	구나디아
구데 도법	구드 도법
구르비크	귀르비치
구스다브 아돌프	구스타브 아돌프
구스다프 아돌프	구스타브 아돌프
구스리	구슬리
구스타브 아도르프	구스타브 아돌프
구스타프 아돌프	구스타브 아돌프
구아나코	과나코
구아네티디네	구아네티딘
구아니네	구아닌
구아니디네	구아니딘
구아달라야라	과달라하라
구아달라하라	과달라하라
구아달카날섬	과달카날섬
구아드	가드
구아드레일	가드레일
구아디아나강	과디아나강
구아라나	과라나
구아르니에리	과르니에리
구아바	구아버
구아세	구아슈
구아세	구아슈
구아쉐	구아슈
구아야킬	과야킬
구아율	과율
구아이어콜	과이어콜
구아타나모	관타나모
구아테말라	과테말라
구암섬	괌섬
구야나	가이아나
구언시섬	건지섬
구에르니카	게르니카
구에릴라	게릴라
구엔왕조	응우옌 왕조
구우르 왕조	구르 왕조
구이뇰	기뇰
구이니	기니
구이니	기니
구이니비사우	기니비사우
구이니피그	기니피그
구이드	가이드
구이드넘버	가이드넘버
구이드로프	가이드로프
구이드북	가이드북
구이로	귀로
구이트리	기트리
구일더	길더
구일드	길드
구일틴	기요틴
구저라트어	구자라트어
구즈란왈라	구지란왈라
구즈베리	구스베리
구츠헤르샤프트	구츠헤어샤프트
구타펄차	구타페르카
구트기타	거트기타
구트룬	구드룬
구트헤어샤프트	구츠헤어샤프트
군다이오드	건다이오드
군효과	건 효과
굳모닝	굿모닝
굴라만다타산	구를라만다타산
굴카족	구르카족
굼플로비츠	굼플로비치
궤스트	게스트
궬프당	겔프당
귀니아	기니
귀엔느	귀엔
귀위칸	귀위크칸
규비오	구비오
그너몬	그노몬
그너시스	그노시스
그댄스크	그단스크
그디냐	그디니아
그라놀리식	그래놀리식
그라더	그레이더
그라데볼	그라데볼레
그라드	그레이드
그라디언트 방법	그레이디언트 방법
그라디올러스	글라디올러스
그라딩	그레이딩
그라미상	그래미상
그라미씨딘	그라미시딘
그라버	그레이버
그라베스병	그레이브스병
그라베즈병	그레이브스병
그라브	그라베
그라비	그레이비
그라세	글라세
그라스	글라스
그라스라이닝	글라스라이닝
그라스블록	글라스블록
그라스텍스코트	그래스텍스코트
그라스파이버폴	글라스파이버폴
그라스하모니카	글라스하모니카
그라우트커텐	그라우트커튼
그라운드루울	그라운드룰
그라운드쉬트	그라운드시트
그라운드스매쉬	그라운드스매시
그라운드스트로우크	그라운드스트로크
그라운드지로	그라운드제로
그라운딩 더 뽀올	그라운딩 더 볼
그라운딩더보올	그라운딩 더 볼
그라운딩더뽀올	그라운딩 더 볼
그라운딩더뽈	그라운딩 더 볼
그라이	그레이(그레이 레벨로 혼동한 듯. 어휘의 뜻의 나와 있지 않음)
그라이	그레이
그라이더	글라이더
그라이더	그레이더
그라이더왁스	글라이더왁스
그라이드	그레이드
그라이드	글라이드
그라이드	그리드
그라이드글로관	그리드글로관
그라이드바이어스	그리드바이어스
그라이드플래닝	그리드플래닝
그라이딩	글라이딩
그라이레벨	그레이레벨
그라이말디인	그리말디인
그라이버	그레이버
그라이세오풀빈	그리세오풀빈
그라이엄랜드	그레이엄랜드
그라이즐리	그리즐리
그라이칼라	그레이칼라
그라이콰인	그리콰인
그라이프스발드	그라이프스발트
그라이프스왈드	그라이프스발트
그라이프스왈트	그라이프스발트
그라인저 운동	그레인저 운동
그라인체크	그레인체크
그라일	그릴
그라입	그립
그라저학파	그라처학파
그라즈	그라츠
그라지오소	그라치오소
그라칠	그라칠레
그라킬레	그라칠레
그라탕	그라탱
그라티아	그라티아이
그라티애	그라티아이
그라틴	그라탱
그라포스코프	그래포스코프
그라프	그래프
그라프저널리즘	그래프저널리즘
그라프트 혼성 중합체	그래프트 혼성 중합체
그라프프루트	그레이프프루트
그라프피티 운동	그라피티 운동
그라프히아신스	그레이프히아신스
그라피어시멘트	그라피에시멘트
그라픽	그래픽
그라픽디스플레이	그래픽디스플레이
그라픽디자인	그래픽디자인
그라픽아트	그래픽아트
그라픽이퀄라이저	그래픽이퀄라이저
그라픽커뮤니케이션	그래픽커뮤니케이션
그라픽터미널	그래픽터미널
그라픽패널	그래픽패널
그라함랜드	그레이엄랜드
그란드	그랜드(표준국어대사전에 없는 어휘)
그란드귀뇰	그랑기뇰
그란드기뇰	그랑기뇰
그란드디상스댐	그랑드디상스댐
그란드래피즈	그랜드래피즈
그란드바하마섬	그랜드바하마섬
그란드뱅크스	그랜드뱅크스
그란드스탠드	그랜드스탠드
그란드슬램	그랜드슬램
그란드오페라	그랜드오페라
그란드조라스산	그랑드조라스산
그란드캐니언	그랜드캐니언
그란드쿨리댐	그랜드쿨리댐
그란드티턴 국립공원	그랜드티턴 국립 공원
그란드포지션	그랜드포지션
그란드프리	그랑프리
그란사쏘디탈리아	그란사소디탈리아
그람이온	그램이온
그람칼로리	그램칼로리
그람톤	그램톤
그랑귀뇰	그랑기뇰
그랑드	그랑(표준국어대사전에 없는 어휘)
그랑드조랑쎄산	그랑드조라스산
그랑디상스댐	그랑드디상스댐
그래나	그라나
그래나다	그라나다
그래놀리딕	그래놀리식
그래놀리쓰	그래놀리스
그래놀리씩	그래놀리식
그래드스턴	글래드스턴
그래머주	글래머주
그래베	그라베
그래스	글라스
그래스고	글래스고
그래쓰텍스코트	그래스텍스코트
그래이버	그레이버
그래즈	그라츠
그래지오소	그라치오소
그래처학파	그라처학파
그래츠	그라츠
그래치오소	그라치오소
그래피에 시멘트	그라피에시멘트
그래픽코뮤니케이션	그래픽커뮤니케이션
그래픽코아	그래픽코어
그랜드	그랑(표준국어대사전에 없는 어휘)
그랜드라피즈	그랜드래피즈
그랜드래피드스	그랜드래피즈
그랜드캐년	그랜드캐니언
그랜드테톤 국립공원	그랜드티턴 국립 공원
그랜드티톤 국립공원	그랜드티턴 국립 공원
그랜드프리	그랑프리
그랜디오소	그란디오소
그랜사소디탈리아	그란사소디탈리아
그랜차코	그란차코
그램센치미터	그램센티미터
그램패션	글램패션
그러나다	그레나다
그러브	글러브
그러비얼룩말	그레비얼룩말
그레고리우스 성가	그레고리오 성가
그레고리우스성가	그레고리오 성가
그레고리우즈	그레고리우스
그레꼬로망	그레코로만
그레노블	그르노블
그레드	그리드
그레시안이모랄레스	그라시안 이 모랄레스
그레아스컵	그리스컵
그레아스펌프	그리스펌프
그레어	글레어
그레이마케트	그레이마켓
그레이브	그라베
그레이셔 국립공원	글레이셔 국립공원
그레이스	그라스
그레이즈	글레이즈
그레이징	글레이징
그레이칼러	그레이칼라
그레이트노썬철도	그레이트 노던 철도
그레이트노오던철도	그레이트 노던 철도
그레이트바신	그레이트베이슨
그레이트배신	그레이트베이슨
그레이트플레인즈	그레이트플레인스
그레이프스발드	그라이프스발트
그레이프스발트	그라이프스발트
그레이프히야신스	그레이프히아신스
그레조리	그레고리
그레픽코아	그래픽코어
그레픽코어	그래픽코어
그렌란드	그린란드
그렌빌	그린빌
그렌즈버러	그린즈버러
그렌첸트	글렌첸트
그렌터프	그린터프
그렌플래시	그린플래시
그렌피스	그린피스
그렘이온	그램이온
그렘칼로리	그램칼로리
그로리	글로리
그로리아	글로리아
그로리아	글로리아
그로리오사	글로리오사
그로리홀법	글로리 홀법
그로버산	글로버산
그로벌리즘	글로벌리즘
그로브	글로브
그로브 극장	글로브 극장
그로비게리나	글로비게리나
그로빈	글로빈
그로뻬	그로페
그로소프테리스	글로소프테리스
그로스	그로
그로스그랭	그로그랭
그로스그레인	그로그랭
그로스터	글로스터
그로시	글로시
그로우	글로
그로우램프	글로플러그
그로우스터터	글로스타터
그로우테스크 하다	그로테스크하다
그로우테스크하다	그로테스크하다
그로우트	그라우트
그로우트커텐	그라우트커튼
그로우트커튼	그라우트커튼
그로우트펌프	그라우트펌프
그로우트홀	그라우트홀
그로운드스트로크	그라운드스트로크
그로운드시트	그라운드시트
그로즈	그로스
그로지	그로기
그로켄슈필	글로켄슈필
그로키디움	글로키디움
그로테스크 하다	그로테스크하다
그로트수스의 연쇄 이론	그로투스의 연쇄 이론
그로트투스의 연쇄 이론	그로투스의 연쇄 이론
그로프	그로페
그록기	그로기
그롬마강	글롬마강
그루스	그로스
그루시톨	글루시톨
그루우	그루
그루코시다아제	글루코시다아제
그루코시드	글루코시드
그루코오스	글루코오스
그루코제네시스	글루코제네시스
그루코코르티코이드	글루코코르티코이드
그루콜리피드	글루콜리피드
그루타미나아제	글루타미나아제
그루테티미드	글루테티미드
그루파이	그루피
그루프웨어	그룹웨어
그룬드헤어샤프트	그룬트헤어샤프트
그룬트헤르샤프트	그룬트헤어샤프트
그룹다이나믹스	그룹다이내믹스
그룹웍	그룹워크
그룹테크놀러지	그룹테크놀로지
그리노크	그리녹
그리드글로우관	그리드글로관
그리드비아스	그리드바이어스
그리비체	글리비체
그리삐사이트	그리피사이트
그리삔	그리핀
그리사드	글리사드
그리사일	그리자유
그리사일레	그리자유
그리산도	글리산도
그리세	글리세
그리세롤	글리세롤
그리세르알데히드	글리세르알데히드
그리세리드	글리세리드
그리옥살라아제	글리옥살라아제
그리인	그린
그리자일	그리자유
그리즈	그리스
그리즈컵	그리스컵
그리즈테이블	그리스테이블
그리즈펌프	그리스펌프
그리코시다아제	글리코시다아제
그리코시드	글리코시드
그리콜	글리콜
그리콜에테르	글리콜에테르
그리쿠아인	그리콰인
그리클라자이드	글리클라자이드
그리클럽	글리클럽
그리트	그릿
그리트노선철도	그레이트 노던 철도
그리트다이크	그레이트다이크
그리트데인	그레이트데인
그리트배리어리프	그레이트배리어리프
그리트베어호	그레이트베어호
그리트베이슨	그레이트베이슨
그리트브리튼	그레이트브리튼
그리트이스턴호	그레이트이스턴호
그리트플레인스	그레이트플레인스
그리트피레네	그레이트피레네
그리피다이트	그리피사이트
그리피싸이트	그리피사이트
그린녹	그리녹
그린니치	그리니치
그린니치빌지	그리니치빌리지
그린랜드	그린란드
그린베레트	그린베레
그린빌레	그린빌
그린스보로	그린즈버러
그린위치	그리니치
그린플래쉬	그린플래시
그메린 반응	그멜린 반응
그왈리오르	괄리오르
그하잔칸	가잔칸
그하즈니	가즈니 왕조
그호르 왕조	고르 왕조
글라디올루스	글라디올러스
글라르	글레어
글라스리닝	글라스라이닝
글라이드패드	글라이드패스
글라인더	그라인더
글라인딩	그라인딩
글라인딩밀	그라인딩밀
글라즈	글레이즈
글라징	글레이징
글라크	글라세
글래드스톤	글래드스턴
글래셔 국립공원	글레이셔 국립공원
글래스	글라스
글래스고우	글래스고
글래스블락	글라스블록
글래스블록	글라스블록
글래스피버폴	글라스파이버폴
글래스하모니카	글라스하모니카
글래신페이퍼	글라신페이퍼
글레셔 국립공원	글레이셔 국립공원
글렌젠드	글렌첸트
글로리호울법	글로리 홀법
글로마강	글롬마강
글로발리즘	글로벌리즘
글로벌리슴	글로벌리즘
글로브	글러브
글로세터	글로스터
글로쏘프테리스	글로소프테리스
글로씨	글로시
글로우	글로
글로우램프	글로램프
글로우버산	글로버산
글로우브	글로브
글로우빈	글로빈
글로우스타터	글로스타터
글로우플러그	글로플러그
글로치디엄	글로키디움
글로켄스피얼	글로켄슈필
글로키디엄	글로키디움
글록켄스피엘	글로켄슈필
글루코시다제	글루코시다아제
글루코제	글루코오스
글리드	글라이드
글리벤클라미드	글리벤클라마이드
글리싸드	글리사드
글리싼도	글리산도
글리쎄	글리세
글리오살	글리옥살
글리옥살라제	글리옥살라아제
글리위체	글리비체
글리코시다제	글리코시다아제
글리클라지드	글리클라자이드
기니계수	지니 계수
기니비싸우	기니비사우
기니아	기니
기니아피그	기니피그
기롱댕	지롱댕
기르들	거들
기베렐린	지베렐린
기부스베드	깁스베드
기부츠	키부츠
기브롤터	지브롤터
기브스베드	깁스베드
기어카터	기어커터
기오르조네	조르조네
기오코소	지오코소
기요트	기요
기테른	기턴
기프스베드	깁스베드
긴저비어	진저비어
긴저에일	진저에일
긴피즈	진피즈
길가메쉬	길가메시
길레트	질레
길로틴	기요틴
길프당	겔프당
깁부츠	키부츠
깁스 베드	깁스베드
깁스코르세트	깁스코르셋
까께수리경대	가께수리경대
까라마조프의 형제	카라마조프가의 형제들
까라오께	가라오케
까무쁠라주	카무플라주
까무플라주	카무플라주
까무플라쥐	카무플라주
까무플라쥬	카무플라주
까스꼬뉴	가스코뉴
까스라이타	가스라이터
까스라이트지	가스라이트지
까스레인지	가스레인지
까스렌즈	가스렌즈
까스렌지	가스레인지
까스마스크	가스마스크
까스맨틀	가스맨틀
까스모니터	가스모니터
까스버너	가스버너
까스보일러	가스보일러
까스봄베	가스봄베
까스블랙	가스블랙
까스샘플러	가스샘플러
까스스토브	가스스토브
까스싸이클론	가스사이클론
까스엔진	가스엔진
까스오븐레인지	가스오븐레인지
까스오븐렌지	가스오븐레인지
까스지지미	가스지지미
까스카본	가스카본
까스카봉	가스카본
까스콕스	가스코크스
까스크로마토그래피	가스크로마토그래피
까스터빈	가스터빈
까스패킹	가스패킹
까스포켓	가스포켓
까스히터	가스히터
까쓰지지미	가스지지미
깐대라	간데라
깐데라	간데라
깨이샤	게이샤
께이샤	게이샤
께임메이커	게임메이커
꼬뮈니께	코뮈니케
꼴게터	골게터
꼴네트	골네트
꼴라인	골라인
꼴라주	콜레주
꼴라주	콜라주
꼴라쥐	콜레주
꼴레뇨	콜레뇨
꼴스로	골스로
꼴에어리어	골에어리어
꼴저지	골저지
꼴크리스	골크리스
꼴키퍼	골키퍼
꼴포스트	골포스트
꾸스리	구슬리
꾸슬리	구슬리
꾸앵트로	쿠앵트로
꿀벌 마이야의 모험	꿀벌 마야의 모험
나갈유나	나가르주나
나그로포비아	네크로포비아
나네이어	나나이어
나노 초	나노초
나노메타	나노미터
나노메터	나노미터
나노세칸드	나노세컨드
나노암프	나노앰프
나데인 대어족	나데네 대어족
나라테이지	나라타주
나람진	나람신
나래션	내레이션
나래숀	내레이션
나레이션	내레이션
나레이터	내레이터
나로르핀	날로르핀
나롣니키	나로드니키
나롯나야산	나로드나야산
나르빅크	나르비크
나르시소스	나르키소스
나르시쓰	나르시스
나만간	나망간
나미비야	나미비아
나바티	나바테아
나벨오렌지	네이블오렌지
나비스파	나비파
나사나엘	나다나엘
나세리슴	나세리즘
나세비 전투	네이즈비 전투
나쇼날	내셔널
나쇼날 미니멈	내셔널미니멈
나쇼날갤러리	내셔널갤러리
나쇼날리그	내셔널리그
나쇼날리즘	내셔널리즘
나쇼날부랜드	내셔널브랜드
나쇼날브란드	내셔널브랜드
나쇼날브랜드	내셔널브랜드
나쇼날아트라스	내셔널 *아틀라스
나쇼날아틀라스	내셔널 *아틀라스
나쇼날트라스트	내셔널트러스트
나쇼날트러스트	내셔널트러스트
나슈빌데이비드슨	내슈빌데이비드슨
나슈빌데이빗슨	내슈빌데이비드슨
나슬 왕조	나스르 왕조
나야로비	나이로비
